set	t_s	kind	node	sensor	note	ch	vel_emitted	dt_ms
ff	24.67794895172119	OFF	2	11	B4(71)	3	103	19.9
ff	24.67795205116272	OFF	2	7	G4(67)	3	112	9.9
ff	24.728193759918213	OFF	2	9	A4(69)	3	83	49.9
ff	24.728200912475586	OFF	2	5	F4(65)	3	89	38.3
ff	24.728203773498535	OFF	2	2	D4(62)	3	88	39.9
ff	24.728206872940063	OFF	2	6	F#4(66)	3	97	26.6
ff	24.728209018707275	OFF	2	8	G#4(68)	3	98	24.9
ff	24.728212118148804	OFF	2	4	E4(64)	3	93	31.6
ff	24.728214740753174	OFF	2	10	A#4(70)	3	97	26.6
ff	24.728216886520386	ON	1	23	E3(52)	3	115	0.0
ff	24.728219985961914	ON	1	22	D#3(51)	3	115	3.3
ff	24.728223085403442	ON	1	26	G3(55)	3	115	6.6
ff	24.728224754333496	ON	1	21	D3(50)	3	115	3.3
ff	24.728227853775024	ON	1	24	F3(53)	3	115	3.3
ff	24.728229999542236	ON	1	25	F#3(54)	3	115	3.3
ff	24.72823190689087	ON	1	28	A3(57)	3	115	6.6
ff	24.77842378616333	ON	1	20	C#3(49)	3	115	3.3
ff	24.7784321308136	ON	1	19	C3(48)	3	115	3.3
ff	24.77843475341797	OFF	1	19	C3(48)	3	115	1.6
ff	24.778437852859497	ON	2	8	G#4(68)	3	115	3.3
ff	24.828535795211792	ON	2	10	A#4(70)	3	115	1.6
ff	24.828542947769165	ON	2	5	F4(65)	3	112	9.9
ff	24.828545808792114	ON	2	9	A4(69)	3	115	3.3
ff	24.828548908233643	ON	2	4	E4(64)	3	112	9.9
ff	24.82855200767517	ON	2	13	C#5(73)	3	115	4.9
ff	24.82855486869812	OFF	1	21	D3(50)	3	101	21.6
ff	24.828556776046753	OFF	1	23	E3(52)	3	112	9.9
ff	24.82855987548828	ON	2	7	G4(67)	3	115	3.3
ff	24.82856297492981	ON	2	12	C5(72)	3	115	4.9
ff	24.82856512069702	OFF	1	20	C#3(49)	3	107	14.9
ff	24.82856774330139	ON	2	11	B4(71)	3	115	4.9
ff	24.828569889068604	ON	2	14	D5(74)	3	112	9.9
ff	24.828572988510132	OFF	1	22	D#3(51)	3	100	23.3
ff	24.828575134277344	OFF	1	24	F3(53)	3	91	34.9
ff	24.879453897476196	OFF	2	13	C#5(73)	3	111	11.6
ff	24.879459857940674	OFF	1	26	G3(55)	3	94	29.9
ff	24.879462003707886	OFF	1	28	A3(57)	3	89	38.3
ff	24.879465103149414	OFF	2	7	G4(67)	3	106	16.6
ff	24.879467010498047	OFF	1	25	F#3(54)	3	101	21.6
ff	24.87946891784668	OFF	2	11	B4(71)	3	101	21.6
ff	24.879470825195312	OFF	2	9	A4(69)	3	100	23.3
ff	24.879472970962524	OFF	2	14	D5(74)	3	98	24.9
ff	24.929824113845825	OFF	2	8	G#4(68)	3	104	18.3
ff	24.929831981658936	OFF	2	5	F4(65)	3	97	26.6
ff	24.929836750030518	OFF	2	4	E4(64)	3	92	33.3
ff	24.929839849472046	OFF	2	10	A#4(70)	3	101	21.6
ff	24.929842948913574	ON	1	29	A#3(58)	3	115	1.6
ff	24.929845809936523	OFF	2	12	C5(72)	3	79	61.6
ff	24.92984890937805	ON	1	27	G#3(56)	3	115	0.0
ff	24.929850816726685	ON	1	28	A3(57)	3	104	18.3
ff	24.929853916168213	ON	1	30	B3(59)	3	115	3.3
ff	24.929856777191162	ON	1	25	F#3(54)	3	86	43.3
ff	24.929858922958374	ON	1	26	G3(55)	3	115	6.6
ff	24.98045587539673	ON	1	24	F3(53)	3	107	14.9
ff	24.980468034744263	ON	2	2	D4(62)	3	114	8.3
ff	24.98047399520874	OFF	1	24	F3(53)	3	111	11.6
ff	24.980479955673218	OFF	1	25	F#3(54)	3	93	31.6
ff	24.98048496246338	OFF	1	28	A3(57)	3	106	16.6
ff	24.98048996925354	ON	2	10	A#4(70)	3	115	3.3
ff	24.980493783950806	ON	2	13	C#5(73)	3	115	3.3
ff	24.980499029159546	ON	2	12	C5(72)	3	115	1.6
ff	25.031060934066772	OFF	1	27	G#3(56)	3	114	8.3
ff	25.031067848205566	ON	2	11	B4(71)	3	115	1.6
ff	25.031070947647095	ON	2	14	D5(74)	3	115	3.3
ff	25.031072854995728	ON	2	9	A4(69)	3	115	4.9
ff	25.031075954437256	ON	2	7	G4(67)	3	115	1.6
ff	25.03107786178589	OFF	1	26	G3(55)	3	96	28.3
ff	25.031088829040527	OFF	1	29	A#3(58)	3	111	11.6
ff	25.03109097480774	OFF	1	30	B3(59)	3	87	41.6
ff	25.03109312057495	OFF	2	2	D4(62)	3	93	31.6
ff	25.08138394355774	OFF	2	9	A4(69)	3	109	13.3
ff	25.08139705657959	OFF	2	7	G4(67)	3	106	16.6
ff	25.081403970718384	OFF	2	11	B4(71)	3	109	13.3
ff	25.081408739089966	OFF	2	12	C5(72)	3	97	26.6
ff	25.081413984298706	ON	2	3	D#4(63)	3	115	0.0
ff	25.13514995574951	ON	2	1	C#4(61)	3	115	3.3
ff	25.135164976119995	OFF	2	13	C#5(73)	3	109	13.3
ff	25.13516879081726	OFF	2	10	A#4(70)	3	92	33.3
ff	25.13517189025879	ON	2	2	D4(62)	3	114	8.3
ff	25.135174989700317	ON	1	29	A#3(58)	3	115	4.9
ff	25.13517689704895	ON	2	4	E4(64)	3	115	4.9
ff	25.135178804397583	ON	1	30	B3(59)	3	115	6.6
ff	25.135180950164795	OFF	2	14	D5(74)	3	81	54.9
ff	25.135182857513428	ON	2	0	C4(60)	3	109	13.3
ff	25.18542981147766	OFF	2	0	C4(60)	3	94	29.9
ff	25.185441732406616	OFF	2	2	D4(62)	3	98	24.9
ff	25.185446977615356	OFF	2	4	E4(64)	3	101	21.6
ff	25.1854510307312	OFF	1	29	A#3(58)	3	111	11.6
ff	25.185456037521362	OFF	2	3	D#4(63)	3	112	9.9
ff	25.185460090637207	OFF	1	30	B3(59)	3	86	43.3
ff	25.185463905334473	ON	2	15	D#5(75)	3	115	0.0
ff	25.185467958450317	ON	2	13	C#5(73)	3	115	3.3
ff	25.185472011566162	ON	2	14	D5(74)	3	115	4.9
ff	25.18547487258911	ON	2	16	E5(76)	3	115	3.3
ff	25.185478925704956	ON	2	17	F5(77)	3	115	3.3
ff	25.185482025146484	ON	2	11	B4(71)	3	115	3.3
ff	25.185484886169434	ON	2	12	C5(72)	3	115	6.6
ff	25.23872399330139	OFF	2	1	C#4(61)	3	100	23.3
ff	25.238731861114502	OFF	2	11	B4(71)	3	106	16.6
ff	25.290952920913696	OFF	2	15	D#5(75)	3	107	14.9
ff	25.29096508026123	OFF	2	12	C5(72)	3	86	43.3
ff	25.290969848632812	ON	2	8	G#4(68)	3	115	3.3
ff	25.290975093841553	ON	2	6	F#4(66)	3	115	4.9
ff	25.290979862213135	OFF	2	17	F5(77)	3	78	66.6
ff	25.29098391532898	ON	2	7	G4(67)	3	115	1.6
ff	25.290987730026245	ON	2	9	A4(69)	3	115	4.9
ff	25.29099202156067	OFF	2	16	E5(76)	3	83	49.9
ff	25.290994882583618	OFF	2	13	C#5(73)	3	100	23.3
ff	25.290998935699463	OFF	2	14	D5(74)	3	79	61.6
ff	25.343333959579468	OFF	2	7	G4(67)	3	114	8.3
ff	25.34334707260132	OFF	2	9	A4(69)	3	103	19.9
ff	25.34334897994995	OFF	2	8	G#4(68)	3	103	19.9
ff	25.394412755966187	OFF	2	6	F#4(66)	3	89	38.3
ff	25.394421815872192	ON	2	18	F#5(78)	3	115	3.3
ff	25.39442491531372	ON	2	20	G#5(80)	3	115	3.3
ff	25.39442801475525	ON	2	17	F5(77)	3	115	3.3
ff	25.394429922103882	ON	2	21	A5(81)	3	115	4.9
ff	25.394432067871094	ON	2	19	G5(79)	3	115	0.0
ff	25.394433736801147	ON	2	14	D5(74)	3	115	6.6
ff	25.39443588256836	ON	2	16	E5(76)	3	115	6.6
ff	25.39443802833557	ON	2	23	B5(83)	3	115	4.9
ff	25.44544005393982	OFF	2	23	B5(83)	3	112	9.9
ff	25.445446968078613	OFF	2	19	G5(79)	3	111	11.6
ff	25.445449113845825	OFF	2	17	F5(77)	3	93	31.6
ff	25.445451736450195	ON	2	12	C5(72)	3	115	1.6
ff	25.49720573425293	ON	2	10	A#4(70)	3	115	4.9
ff	25.497217893600464	ON	2	11	B4(71)	3	115	0.0
ff	25.49722409248352	OFF	2	16	E5(76)	3	85	44.9
ff	25.497228860855103	OFF	2	18	F#5(78)	3	98	24.9
